pidp,alpha_sim,wgt_indiv
68247527,.039527029,.9089388251304626
68247531,.032660954,1.068780303001404
68247535,.0033109866,1.120284795761108
68247539,.07479915,.8552829623222351
68250247,-.039578632,1.103744864463806
68256367,-.0307313,1.290992736816406
68256371,-.043335121,1.155836343765259
68259767,.10711904,1.132550835609436
68259771,.13461249,1.060543537139893
68262487,.2161289,1.140889763832092
68264531,.012934203,1.467570662498474
68265207,.021661608,.9419074654579163
68265211,.029363764,.8545886278152466
68265215,.044619564,1.060535192489624
68265219,.075172454,.9165691733360291
68266567,-.035275336,1.080246329307556
68269967,.034424588,1.623047471046448
68270651,-.042540822,1.108524084091187
68270655,-.030925535,1.173357129096985
68270659,-.02884461,1.037204742431641
68273367,-.019952729,1.185531377792358
68273371,-.43010479,1.042091488838196
68274731,-.029616408,1.319551944732666
68278127,-.046306491,.9107857942581177
68282887,-.12968102,1.488971590995789
68282891,-.115479,1.503723978996277
68282895,-.1092419,.9069480299949646
68282899,-.086640105,.8072260618209839
68282903,-.11853806,1.454509019851685
68284247,-.04373334,1.374384999275208
68284251,-.028429769,1.319929003715515
68284255,-.065892644,1.573811173439026
68284927,-.0070624119,1.184540271759033
68284931,.021956082,.9944005012512207
68288327,.051351752,.8186830282211304
68288331,.028469019,.8202193379402161
68288335,.086313143,.8875572681427002
68291727,.018538775,1.219232201576233
68291731,-.19060573,1.419209718704224
68292405,.079793595,.9929097890853882
68292409,-.0028715383,1.087573885917664
68293087,-.036646381,1.187990784645081
68293091,-.026580393,1.253527283668518
68293095,-.13901274,2.151932239532471
68293099,-.045271941,1.912891507148743
68293103,.0029938933,1.288663387298584
68294455,.049469166,1.768765568733215
68295125,.028675701,1.0309237241745
68296487,-.022728443,1.541583180427551
68297845,.011562182,.9049185514450073
68297849,.011465846,.9236839413642883
68297853,.15727098,1.151435256004333
68297857,.072110102,1.013579964637756
68299207,.064760163,.9446267485618591
68299211,.038718235,.9281738996505737
68299215,.044473503,1.82604455947876
68299219,-.18710589,1.385110139846802
68299887,-.0091372821,2.465821266174316
68302607,.065156102,.8140826821327209
68302611,.096009761,.8716759085655212
68303287,-.079227291,1.137525200843811
68303967,.022505071,1.381789684295654
68303971,.02429004,1.458977341651917
68303975,.0074012722,1.618226647377014
68306687,.054480109,1.1286700963974
68306691,.067439385,1.117913365364075
68306695,.093272626,1.166385769844055
68306699,.067845948,1.245973110198975
68308727,-.052624706,.7664784789085388
68310767,-.030156223,1.194430351257324
68310771,-.0019144192,1.048816919326782
68312807,.021844793,1.283039331436157
68314847,-.036627039,2.108372926712036
68314851,-.03820347,2.271017551422119
68317567,-.36823952,2.515683174133301
68320285,-.058449853,1.932590484619141
68320965,-.064532116,.8874378800392151
68320969,-.067545608,.84075927734375
68321647,-.026687384,.9568101167678833
68321651,-.010627989,.8855648040771484
68322327,.09659978,.8679729104042053
68322331,.12764408,.8767748475074768
68322335,.079430453,1.28440797328949
68323687,.14163314,1.276990413665771
68324367,-.037806325,1.759477376937866
68329127,-.049249049,1.010544538497925
68329131,-.026313819,1.127300024032593
68329807,-.003683391,.9301437139511108
68329811,-.013023993,.9831546545028687
68329815,-.084171072,1.36929988861084
68331167,-.066275224,.3236416876316071
68331175,-.032875914,.3971961438655853
68331179,-.024937361,.3137773871421814
68333207,.037545081,1.549057602882385
68333215,.086847715,1.646520256996155
68335255,.041978605,2.87978196144104
68335927,.017853349,1.740996122360229
68336615,.11748246,.3132742345333099
68336627,.0016599793,.4693011939525604
68337287,.05427378,1.012328267097473
68337971,.1177244,1.121819734573364
68337975,.10918007,1.071048855781555
68340007,.036334727,2.048859834671021
68340011,.051144332,1.769941568374634
